600 10 1000
336 12 1 3
338 20 5 4
341 9 1 2
342 10 9 1
343 2 1 2
344 11 7 4
346 12 1 3
348 20 5 4
351 9 1 2
352 10 9 1
353 2 1 2
354 11 7 4
356 12 1 3
358 20 5 4
361 9 1 2
362 10 9 1
363 2 1 2
364 11 7 4
366 12 1 3
368 20 5 4
371 9 1 2
372 10 9 1
373 2 1 2
374 11 7 4
376 12 1 3
378 20 5 4
381 9 1 2
382 10 9 1
383 2 1 2
384 11 7 4
386 12 1 3
388 20 5 4
391 9 1 2
392 10 9 1
393 2 1 2
394 11 7 4
396 12 1 3
398 20 5 4
401 9 1 2
402 10 9 1
403 2 1 2
404 11 7 4
406 12 1 3
408 20 5 4
411 9 1 2
412 10 9 1
413 2 1 2
414 11 7 4
416 12 1 3
418 20 5 4
421 9 1 2
422 10 9 1
423 2 1 2
424 11 7 4
426 12 1 3
428 20 5 4
431 9 1 2
432 10 9 1
433 2 1 2
434 11 7 4
436 12 1 3
438 20 5 4
441 9 1 2
442 10 9 1
443 2 1 2
444 11 7 4
446 12 1 3
448 20 5 4
451 9 1 2
452 10 9 1
453 2 1 2
454 11 7 4
456 12 1 3
458 20 5 4
461 9 1 2
462 10 9 1
463 2 1 2
464 11 7 4
466 12 1 3
468 20 5 4
471 9 1 2
472 10 9 1
473 2 1 2
474 11 7 4
476 12 1 3
478 20 5 4
481 9 1 2
482 10 9 1
483 2 1 2
484 11 7 4
486 12 1 3
488 20 5 4
491 9 1 2
492 10 9 1
493 2 1 2
494 11 7 4
496 12 1 3
498 20 5 4
501 9 1 2
502 10 9 1
503 2 1 2
504 11 7 4
506 12 1 3
508 20 5 4
511 9 1 2
512 10 9 1
513 2 1 2
514 11 7 4
516 12 1 3
518 20 5 4
521 9 1 2
522 10 9 1
523 2 1 2
524 11 7 4
526 12 1 3
528 20 5 4
531 9 1 2
532 10 9 1
533 2 1 2
534 11 7 4
536 12 1 3
538 20 5 4
541 9 1 2
542 10 9 1
543 2 1 2
544 11 7 4
546 12 1 3
548 20 5 4
551 9 1 2
552 10 9 1
553 2 1 2
554 11 7 4
556 12 1 3
558 20 5 4
561 9 1 2
562 10 9 1
563 2 1 2
564 11 7 4
566 12 1 3
568 20 5 4
571 9 1 2
572 10 9 1
573 2 1 2
574 11 7 4
576 12 1 3
578 20 5 4
581 9 1 2
582 10 9 1
583 2 1 2
584 11 7 4
586 12 1 3
588 20 5 4
591 9 1 2
592 10 9 1
593 2 1 2
594 11 7 4
596 12 1 3
598 20 5 4
601 9 1 2
602 10 9 1
603 2 1 2
604 11 7 4
606 12 1 3
608 20 5 4
611 9 1 2
612 10 9 1
613 2 1 2
614 11 7 4
616 12 1 3
618 20 5 4
621 9 1 2
622 10 9 1
623 2 1 2
624 11 7 4
626 12 1 3
628 20 5 4
631 9 1 2
632 10 9 1
633 2 1 2
634 11 7 4
636 12 1 3
638 20 5 4
641 9 1 2
642 10 9 1
643 2 1 2
644 11 7 4
646 12 1 3
648 20 5 4
651 9 1 2
652 10 9 1
653 2 1 2
654 11 7 4
656 12 1 3
658 20 5 4
661 9 1 2
662 10 9 1
663 2 1 2
664 11 7 4
666 12 1 3
668 20 5 4
671 9 1 2
672 10 9 1
673 2 1 2
674 11 7 4
676 12 1 3
678 20 5 4
681 9 1 2
682 10 9 1
683 2 1 2
684 11 7 4
686 12 1 3
688 20 5 4
691 9 1 2
692 10 9 1
693 2 1 2
694 11 7 4
696 12 1 3
698 20 5 4
701 9 1 2
702 10 9 1
703 2 1 2
704 11 7 4
706 12 1 3
708 20 5 4
711 9 1 2
712 10 9 1
713 2 1 2
714 11 7 4
716 12 1 3
718 20 5 4
721 9 1 2
722 10 9 1
723 2 1 2
724 11 7 4
726 12 1 3
728 20 5 4
731 9 1 2
732 10 9 1
733 2 1 2
734 11 7 4
736 12 1 3
738 20 5 4
741 9 1 2
742 10 9 1
743 2 1 2
744 11 7 4
746 12 1 3
748 20 5 4
751 9 1 2
752 10 9 1
753 2 1 2
754 11 7 4
756 12 1 3
758 20 5 4
761 9 1 2
762 10 9 1
763 2 1 2
764 11 7 4
766 12 1 3
768 20 5 4
771 9 1 2
772 10 9 1
773 2 1 2
774 11 7 4
776 12 1 3
778 20 5 4
781 9 1 2
782 10 9 1
783 2 1 2
784 11 7 4
786 12 1 3
788 20 5 4
791 9 1 2
792 10 9 1
793 2 1 2
794 11 7 4
796 12 1 3
798 20 5 4
801 9 1 2
802 10 9 1
803 2 1 2
804 11 7 4
806 12 1 3
808 20 5 4
811 9 1 2
812 10 9 1
813 2 1 2
814 11 7 4
816 12 1 3
818 20 5 4
821 9 1 2
822 10 9 1
823 2 1 2
824 11 7 4
826 12 1 3
828 20 5 4
831 9 1 2
832 10 9 1
833 2 1 2
834 11 7 4
836 12 1 3
838 20 5 4
841 9 1 2
842 10 9 1
843 2 1 2
844 11 7 4
846 12 1 3
848 20 5 4
851 9 1 2
852 10 9 1
853 2 1 2
854 11 7 4
856 12 1 3
858 20 5 4
861 9 1 2
862 10 9 1
863 2 1 2
864 11 7 4
866 12 1 3
868 20 5 4
871 9 1 2
872 10 9 1
873 2 1 2
874 11 7 4
876 12 1 3
878 20 5 4
881 9 1 2
882 10 9 1
883 2 1 2
884 11 7 4
886 12 1 3
888 20 5 4
891 9 1 2
892 10 9 1
893 2 1 2
894 11 7 4
896 12 1 3
898 20 5 4
901 9 1 2
902 10 9 1
903 2 1 2
904 11 7 4
906 12 1 3
908 20 5 4
911 9 1 2
912 10 9 1
913 2 1 2
914 11 7 4
916 12 1 3
918 20 5 4
921 9 1 2
922 10 9 1
923 2 1 2
924 11 7 4
926 12 1 3
928 20 5 4
931 9 1 2
932 10 9 1
933 2 1 2
934 11 7 4
936 12 1 3
938 20 5 4
941 9 1 2
942 10 9 1
943 2 1 2
944 11 7 4
946 12 1 3
948 20 5 4
951 9 1 2
952 10 9 1
953 2 1 2
954 11 7 4
956 12 1 3
958 20 5 4
961 9 1 2
962 10 9 1
963 2 1 2
964 11 7 4
966 12 1 3
968 20 5 4
971 9 1 2
972 10 9 1
973 2 1 2
974 11 7 4
976 12 1 3
978 20 5 4
981 9 1 2
982 10 9 1
983 2 1 2
984 11 7 4
986 12 1 3
988 20 5 4
991 9 1 2
992 10 9 1
993 2 1 2
994 11 7 4
996 12 1 3
998 20 5 4
0 0 0
